speciesId,temperatureC,suitability,status,interpretation
lake_trout,11.7,0.965000,available,hypothetical_research_only
lake_trout,11.8,0.960000,available,hypothetical_research_only
lake_trout,11.9,0.955000,available,hypothetical_research_only
lake_trout,12.0,0.950000,available,hypothetical_research_only
lake_trout,12.1,0.945000,available,hypothetical_research_only
lake_trout,12.2,0.940000,available,hypothetical_research_only
lake_trout,12.3,0.935000,available,hypothetical_research_only
lake_trout,12.4,0.930000,available,hypothetical_research_only
lake_trout,12.5,0.925000,available,hypothetical_research_only
lake_trout,12.6,0.920000,available,hypothetical_research_only
lake_trout,12.7,0.915000,available,hypothetical_research_only
lake_trout,12.8,0.910000,available,hypothetical_research_only
lake_trout,12.9,0.905000,available,hypothetical_research_only
lake_trout,13.0,0.900000,available,hypothetical_research_only
lake_trout,13.1,0.895000,available,hypothetical_research_only
lake_trout,13.2,0.890000,available,hypothetical_research_only
lake_trout,13.3,0.885000,available,hypothetical_research_only
lake_trout,13.4,0.880000,available,hypothetical_research_only
lake_trout,13.5,0.875000,available,hypothetical_research_only
lake_trout,13.6,0.870000,available,hypothetical_research_only
lake_trout,13.7,0.865000,available,hypothetical_research_only
lake_trout,13.8,0.860000,available,hypothetical_research_only
lake_trout,13.9,0.855000,available,hypothetical_research_only
lake_trout,14.0,0.850000,available,hypothetical_research_only
lake_trout,14.1,0.840000,available,hypothetical_research_only
lake_trout,14.2,0.830000,available,hypothetical_research_only
lake_trout,14.3,0.820000,available,hypothetical_research_only
lake_trout,14.4,0.810000,available,hypothetical_research_only
lake_trout,14.5,0.800000,available,hypothetical_research_only
lake_trout,14.6,0.790000,available,hypothetical_research_only
lake_trout,14.7,0.780000,available,hypothetical_research_only
lake_trout,14.8,0.770000,available,hypothetical_research_only
lake_trout,14.9,0.760000,available,hypothetical_research_only
lake_trout,15.0,0.750000,available,hypothetical_research_only
lake_trout,15.1,0.740000,available,hypothetical_research_only
lake_trout,15.2,0.730000,available,hypothetical_research_only
lake_trout,15.3,0.720000,available,hypothetical_research_only
lake_trout,15.4,0.710000,available,hypothetical_research_only
lake_trout,15.5,0.700000,available,hypothetical_research_only
lake_trout,15.6,0.690000,available,hypothetical_research_only
lake_trout,15.7,0.680000,available,hypothetical_research_only
lake_trout,15.8,0.670000,available,hypothetical_research_only
lake_trout,15.9,0.660000,available,hypothetical_research_only
lake_trout,16.0,0.650000,available,hypothetical_research_only
lake_trout,16.1,0.637500,available,hypothetical_research_only
lake_trout,16.2,0.625000,available,hypothetical_research_only
lake_trout,16.3,0.612500,available,hypothetical_research_only
lake_trout,16.4,0.600000,available,hypothetical_research_only
lake_trout,16.5,0.587500,available,hypothetical_research_only
lake_trout,16.6,0.575000,available,hypothetical_research_only
lake_trout,16.7,0.562500,available,hypothetical_research_only
lake_trout,16.8,0.550000,available,hypothetical_research_only
lake_trout,16.9,0.537500,available,hypothetical_research_only
lake_trout,17.0,0.525000,available,hypothetical_research_only
lake_trout,17.1,0.512500,available,hypothetical_research_only
lake_trout,17.2,0.500000,available,hypothetical_research_only
lake_trout,17.3,0.487500,available,hypothetical_research_only
lake_trout,17.4,0.475000,available,hypothetical_research_only
lake_trout,17.5,0.462500,available,hypothetical_research_only
lake_trout,17.6,0.450000,available,hypothetical_research_only
lake_trout,17.7,0.437500,available,hypothetical_research_only
lake_trout,17.8,0.425000,available,hypothetical_research_only
lake_trout,17.9,0.412500,available,hypothetical_research_only
lake_trout,18.0,0.400000,available,hypothetical_research_only
lake_trout,18.1,0.390000,available,hypothetical_research_only
lake_trout,18.2,0.380000,available,hypothetical_research_only
lake_trout,18.3,0.370000,available,hypothetical_research_only
lake_trout,18.4,0.360000,available,hypothetical_research_only
lake_trout,18.5,0.350000,available,hypothetical_research_only
lake_trout,18.6,0.340000,available,hypothetical_research_only
lake_trout,18.7,0.330000,available,hypothetical_research_only
lake_trout,18.8,0.320000,available,hypothetical_research_only
lake_trout,18.9,0.310000,available,hypothetical_research_only
lake_trout,19.0,0.300000,available,hypothetical_research_only
lake_trout,19.1,0.290000,available,hypothetical_research_only
lake_trout,19.2,0.280000,available,hypothetical_research_only
lake_trout,19.3,0.270000,available,hypothetical_research_only
lake_trout,19.4,0.260000,available,hypothetical_research_only
lake_trout,19.5,0.250000,available,hypothetical_research_only
lake_trout,19.6,0.240000,available,hypothetical_research_only
lake_trout,19.7,0.230000,available,hypothetical_research_only
lake_trout,19.8,0.220000,available,hypothetical_research_only
lake_trout,19.9,0.210000,available,hypothetical_research_only
lake_trout,20.0,0.200000,available,hypothetical_research_only
lake_trout,20.1,0.196667,available,hypothetical_research_only
lake_trout,20.2,0.193333,available,hypothetical_research_only
lake_trout,20.3,0.190000,available,hypothetical_research_only
lake_trout,20.4,0.186667,available,hypothetical_research_only
lake_trout,20.5,0.183333,available,hypothetical_research_only
lake_trout,20.6,0.180000,available,hypothetical_research_only
lake_trout,20.7,0.176667,available,hypothetical_research_only
lake_trout,20.8,0.173333,available,hypothetical_research_only
lake_trout,20.9,0.170000,available,hypothetical_research_only
lake_trout,21.0,0.166667,available,hypothetical_research_only
lake_trout,21.1,0.163333,available,hypothetical_research_only
lake_trout,21.2,0.160000,available,hypothetical_research_only
lake_trout,21.3,0.156667,available,hypothetical_research_only
lake_trout,21.4,0.153333,available,hypothetical_research_only
lake_trout,21.5,0.150000,available,hypothetical_research_only
lake_trout,21.6,0.146667,available,hypothetical_research_only
