city_id,species_id,month,month_name,long_1997_2022_surveyed_years,long_1997_2022_hours,long_1997_2022_catch,long_1997_2022_catch_per_1000h,long_1997_2022_positive_year_share,modern_2012_2022_ex_2020_surveyed_years,modern_2012_2022_ex_2020_hours,modern_2012_2022_ex_2020_catch,modern_2012_2022_ex_2020_catch_per_1000h,modern_2012_2022_ex_2020_positive_year_share,recent_2018_2022_ex_2020_surveyed_years,recent_2018_2022_ex_2020_hours,recent_2018_2022_ex_2020_catch,recent_2018_2022_ex_2020_catch_per_1000h,recent_2018_2022_ex_2020_positive_year_share,nonbinding_evidence_guide_score
grand_haven_mi,coho_salmon,9,September,25,164016,8876,54.117,0.920,10,42111,2465,58.536,1.000,4,11196,500,44.659,1.000,8.12
grand_haven_mi,coho_salmon,10,October,25,78220,546,6.980,0.480,10,15062,364,24.167,0.500,4,4911,67,13.643,0.500,5.37
grand_haven_mi,coho_salmon,11,November,3,8028,0,0.000,0.000,2,5310,0,0.000,0.000,2,5310,0,0.000,0.000,1.00
grand_haven_mi,coho_salmon,12,December,1,26,0,0.000,0.000,1,26,0,0.000,0.000,1,26,0,0.000,0.000,1.00
grand_haven_mi,steelhead,4,April,25,111983,1148,10.252,0.640,10,19624,687,35.008,0.600,4,7703,27,3.505,0.500,6.12
grand_haven_mi,steelhead,5,May,25,72963,384,5.263,0.280,10,26035,317,12.176,0.500,4,8697,147,16.902,0.500,4.42
grand_haven_mi,steelhead,6,June,25,166669,8805,52.829,0.600,10,79411,7680,96.712,0.900,4,28220,1956,69.313,1.000,8.26
grand_haven_mi,steelhead,7,July,25,187294,7573,40.434,0.720,10,68890,5421,78.691,0.900,4,21090,675,32.006,0.750,8.00
grand_haven_mi,steelhead,8,August,25,160437,3649,22.744,0.480,10,52977,3313,62.537,0.500,4,12995,77,5.925,0.250,6.80
grand_haven_mi,steelhead,9,September,25,164016,527,3.213,0.640,10,42111,137,3.253,0.500,4,11196,22,1.965,0.500,3.22
grand_haven_mi,steelhead,10,October,25,78220,4804,61.417,0.880,10,15062,1019,67.654,0.900,4,4911,522,106.292,1.000,8.19
grand_haven_mi,steelhead,11,November,3,8028,212,26.408,0.667,2,5310,78,14.689,0.500,2,5310,78,14.689,0.500,5.65
grand_haven_mi,steelhead,12,December,1,26,1,38.462,1.000,1,26,1,38.462,1.000,1,26,1,38.462,1.000,7.51
grand_haven_mi,brown_trout,4,April,25,111983,4892,43.685,0.960,10,19624,772,39.340,0.900,4,7703,252,32.715,1.000,7.48
grand_haven_mi,brown_trout,5,May,25,72963,1819,24.930,0.600,10,26035,350,13.443,0.700,4,8697,61,7.014,0.500,5.69
grand_haven_mi,brown_trout,6,June,25,166669,284,1.704,0.200,10,79411,27,0.340,0.200,4,28220,10,0.354,0.250,1.85
grand_haven_mi,brown_trout,7,July,25,187294,167,0.892,0.120,10,68890,0,0.000,0.000,4,21090,0,0.000,0.000,1.39
grand_haven_mi,brown_trout,8,August,25,160437,45,0.280,0.040,10,52977,0,0.000,0.000,4,12995,0,0.000,0.000,1.13
grand_haven_mi,brown_trout,9,September,25,164016,162,0.988,0.240,10,42111,31,0.736,0.300,4,11196,3,0.268,0.250,1.84
grand_haven_mi,brown_trout,10,October,25,78220,152,1.943,0.240,10,15062,40,2.656,0.200,4,4911,0,0.000,0.000,2.65
grand_haven_mi,brown_trout,11,November,3,8028,0,0.000,0.000,2,5310,0,0.000,0.000,2,5310,0,0.000,0.000,1.00
grand_haven_mi,brown_trout,12,December,1,26,0,0.000,0.000,1,26,0,0.000,0.000,1,26,0,0.000,0.000,1.00
manistee_mi,chinook_salmon,4,April,25,78102,16,0.205,0.080,10,15020,0,0.000,0.000,4,3549,0,0.000,0.000,1.10
manistee_mi,chinook_salmon,5,May,26,38895,636,16.352,0.269,10,14390,54,3.753,0.200,4,4930,0,0.000,0.000,4.11
manistee_mi,chinook_salmon,6,June,26,27349,560,20.476,0.423,10,10001,123,12.299,0.500,4,2715,48,17.680,0.750,5.18
manistee_mi,chinook_salmon,7,July,26,38193,678,17.752,0.269,10,10683,112,10.484,0.200,4,2670,0,0.000,0.000,4.63
manistee_mi,chinook_salmon,8,August,26,65785,5000,76.005,0.731,10,16990,481,28.311,0.700,4,3751,250,66.649,0.750,7.28
manistee_mi,chinook_salmon,9,September,26,57485,2252,39.175,0.885,10,15209,486,31.955,0.700,4,4418,92,20.824,0.500,6.91
manistee_mi,chinook_salmon,10,October,26,65691,596,9.073,0.346,10,13265,534,40.256,0.400,4,3194,75,23.482,0.250,5.84
manistee_mi,coho_salmon,4,April,25,78102,12,0.154,0.080,10,15020,3,0.200,0.100,4,3549,3,0.845,0.250,1.21
manistee_mi,coho_salmon,5,May,26,38895,148,3.805,0.115,10,14390,139,9.659,0.200,4,4930,0,0.000,0.000,3.82
manistee_mi,coho_salmon,6,June,26,27349,0,0.000,0.000,10,10001,0,0.000,0.000,4,2715,0,0.000,0.000,1.00
manistee_mi,coho_salmon,7,July,26,38193,53,1.388,0.077,10,10683,18,1.685,0.100,4,2670,18,6.742,0.250,2.21
manistee_mi,coho_salmon,8,August,26,65785,420,6.384,0.192,10,16990,61,3.590,0.200,4,3751,0,0.000,0.000,3.34
manistee_mi,coho_salmon,9,September,26,57485,452,7.863,0.538,10,15209,265,17.424,0.500,4,4418,163,36.895,0.250,5.06
manistee_mi,coho_salmon,10,October,26,65691,808,12.300,0.731,10,13265,594,44.779,0.800,4,3194,280,87.664,1.000,6.76
manistee_mi,steelhead,4,April,25,78102,1011,12.945,0.760,10,15020,379,25.233,0.700,4,3549,15,4.227,0.500,5.97
