year,port,mode,species,month,month_name,estimate_type,estimate,source,source_last_refreshed
1990,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,9,September,Harvest,167,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1990,FRANKFORT-ELBERTA,Pier/Dock,,9,September,Angler Hours,6720,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1990,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,9,September,Harvest,201,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1990,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,10,October,Harvest,86,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1990,FRANKFORT-ELBERTA,Pier/Dock,,10,October,Angler Hours,5270,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1990,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,October,Harvest,170,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1990,FRANKFORT-ELBERTA,Pier/Dock,,11,November,Angler Hours,747,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1990,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,11,November,Harvest,65,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,4,April,Harvest,168,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,,4,April,Angler Hours,3418,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,4,April,Harvest,38,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,May,Harvest,427,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,,5,May,Angler Hours,3019,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,May,Harvest,82,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
