city_id,species_id,month,month_name,monthly_seasonal_ceiling,long_surveyed_years,long_hours,long_cpue_per_1000h,long_positive_year_share,modern_surveyed_years,modern_hours,modern_cpue_per_1000h,modern_positive_year_share,recent_surveyed_years,recent_hours,recent_cpue_per_1000h,recent_positive_year_share,evidence_guide_score,aggregate_support
grand_haven_mi,coho_salmon,7,July,1.93,25,187294,5.478,0.240,10,68890,5.458,0.200,4,21090,0.000,0.000,3.53,supported_or_below_good
grand_haven_mi,coho_salmon,8,August,4.48,25,160437,7.554,0.440,10,52977,15.686,0.600,4,12995,2.770,0.250,4.96,supported_or_below_good
grand_haven_mi,coho_salmon,9,September,8.05,25,164016,54.117,0.920,10,42111,58.536,1.000,4,11196,44.659,1.000,8.12,supported_or_below_good
grand_haven_mi,coho_salmon,10,October,6.63,25,78220,6.980,0.480,10,15062,24.167,0.500,4,4911,13.643,0.500,5.37,supported_or_below_good
grand_haven_mi,coho_salmon,11,November,3.47,3,8028,0.000,0.000,2,5310,0.000,0.000,2,5310,0.000,0.000,1.00,supported_or_below_good
grand_haven_mi,coho_salmon,12,December,3.20,1,26,0.000,0.000,1,26,0.000,0.000,1,26,0.000,0.000,1.00,supported_or_below_good
grand_haven_mi,steelhead,4,April,6.05,25,111983,10.252,0.640,10,19624,35.008,0.600,4,7703,3.505,0.500,6.12,supported_or_below_good
grand_haven_mi,steelhead,5,May,5.75,25,72963,5.263,0.280,10,26035,12.176,0.500,4,8697,16.902,0.500,4.42,supported_or_below_good
grand_haven_mi,steelhead,6,June,8.40,25,166669,52.829,0.600,10,79411,96.712,0.900,4,28220,69.313,1.000,8.26,supported_or_below_good
grand_haven_mi,steelhead,7,July,8.58,25,187294,40.434,0.720,10,68890,78.691,0.900,4,21090,32.006,0.750,8.00,supported_or_below_good
grand_haven_mi,steelhead,8,August,6.42,25,160437,22.744,0.480,10,52977,62.537,0.500,4,12995,5.925,0.250,6.80,supported_or_below_good
grand_haven_mi,steelhead,9,September,4.21,25,164016,3.213,0.640,10,42111,3.253,0.500,4,11196,1.965,0.500,3.22,supported_or_below_good
grand_haven_mi,steelhead,10,October,6.87,25,78220,61.417,0.880,10,15062,67.654,0.900,4,4911,106.292,1.000,8.19,supported_or_below_good
grand_haven_mi,steelhead,11,November,7.03,3,8028,26.408,0.667,2,5310,14.689,0.500,2,5310,14.689,0.500,5.65,supported_or_below_good
grand_haven_mi,steelhead,12,December,4.94,1,26,38.462,1.000,1,26,38.462,1.000,1,26,38.462,1.000,7.51,supported_or_below_good
grand_haven_mi,brown_trout,4,April,7.17,25,111983,43.685,0.960,10,19624,39.340,0.900,4,7703,32.715,1.000,7.48,supported_or_below_good
grand_haven_mi,brown_trout,5,May,5.37,25,72963,24.930,0.600,10,26035,13.443,0.700,4,8697,7.014,0.500,5.69,supported_or_below_good
grand_haven_mi,brown_trout,6,June,2.74,25,166669,1.704,0.200,10,79411,0.340,0.200,4,28220,0.354,0.250,1.85,supported_or_below_good
grand_haven_mi,brown_trout,7,July,1.74,25,187294,0.892,0.120,10,68890,0.000,0.000,4,21090,0.000,0.000,1.39,supported_or_below_good
grand_haven_mi,brown_trout,8,August,1.16,25,160437,0.280,0.040,10,52977,0.000,0.000,4,12995,0.000,0.000,1.13,supported_or_below_good
grand_haven_mi,brown_trout,9,September,1.57,25,164016,0.988,0.240,10,42111,0.736,0.300,4,11196,0.268,0.250,1.84,supported_or_below_good
grand_haven_mi,brown_trout,10,October,2.14,25,78220,1.943,0.240,10,15062,2.656,0.200,4,4911,0.000,0.000,2.65,supported_or_below_good
grand_haven_mi,brown_trout,11,November,2.86,3,8028,0.000,0.000,2,5310,0.000,0.000,2,5310,0.000,0.000,1.00,supported_or_below_good
grand_haven_mi,brown_trout,12,December,3.62,1,26,0.000,0.000,1,26,0.000,0.000,1,26,0.000,0.000,1.00,supported_or_below_good
manistee_mi,chinook_salmon,4,April,1.43,25,78102,0.205,0.080,10,15020,0.000,0.000,4,3549,0.000,0.000,1.10,supported_or_below_good
manistee_mi,chinook_salmon,5,May,3.60,26,38895,16.352,0.269,10,14390,3.753,0.200,4,4930,0.000,0.000,4.11,supported_or_below_good
manistee_mi,chinook_salmon,6,June,5.33,26,27349,20.476,0.423,10,10001,12.299,0.500,4,2715,17.680,0.750,5.18,supported_or_below_good
manistee_mi,chinook_salmon,7,July,4.10,26,38193,17.752,0.269,10,10683,10.484,0.200,4,2670,0.000,0.000,4.63,supported_or_below_good
manistee_mi,chinook_salmon,8,August,7.51,26,65785,76.005,0.731,10,16990,28.311,0.700,4,3751,66.649,0.750,7.28,supported_or_below_good
manistee_mi,chinook_salmon,9,September,7.31,26,57485,39.175,0.885,10,15209,31.955,0.700,4,4418,20.824,0.500,6.91,supported_or_below_good
manistee_mi,chinook_salmon,10,October,5.12,26,65691,9.073,0.346,10,13265,40.256,0.400,4,3194,23.482,0.250,5.84,supported_or_below_good
manistee_mi,coho_salmon,4,April,3.53,25,78102,0.154,0.080,10,15020,0.200,0.100,4,3549,0.845,0.250,1.21,supported_or_below_good
manistee_mi,coho_salmon,5,May,3.51,26,38895,3.805,0.115,10,14390,9.659,0.200,4,4930,0.000,0.000,3.82,supported_or_below_good
manistee_mi,coho_salmon,6,June,2.52,26,27349,0.000,0.000,10,10001,0.000,0.000,4,2715,0.000,0.000,1.00,supported_or_below_good
manistee_mi,coho_salmon,7,July,2.13,26,38193,1.388,0.077,10,10683,1.685,0.100,4,2670,6.742,0.250,2.21,supported_or_below_good
