pairKey,cityId,speciesId,evidenceGrade,modeCount,peakDate,peakMode,peakScore,goodDays,excellentDays,april15,june15,september16,october15,december15,springMaximum,summerMaximum,fallMaximum,winterMaximum
racine_wi/coho_salmon,racine_wi,coho_salmon,B,3,2027-04-20,spring_nearshore,7.6,75,0,7.02,2.58,6.88,5.17,1,7.6,5.93,7.3,2.15
racine_wi/steelhead,racine_wi,steelhead,B,3,2027-07-15,summer_thermal_break_or_upwelling,5.7,0,0,5.3,2.99,2.37,2.05,2.54,5.3,5.7,2.5,4.22
racine_wi/brown_trout,racine_wi,brown_trout,B,2,2027-04-01,spring_nearshore,6.7,25,0,6.23,2.89,1,1,3.16,6.7,3.83,2.73,3.9
kenosha_wi/chinook_salmon,kenosha_wi,chinook_salmon,B,2,2027-08-15,fall_harbor_staging,6.7,26,0,1,1.98,4.99,2.41,1,1,6.7,5.91,1
kenosha_wi/coho_salmon,kenosha_wi,coho_salmon,B,3,2027-04-20,spring_nearshore,8,58,0,7.39,2.68,6.04,4.57,1,8,5.22,6.4,2.22
kenosha_wi/steelhead,kenosha_wi,steelhead,B,3,2027-04-15,winter_spring_thermal_front,4.3,0,0,4.3,2.36,2,1.77,2.18,4.3,4.2,2.1,3.47
kenosha_wi/brown_trout,kenosha_wi,brown_trout,B,2,2027-04-01,spring_nearshore,5.8,0,0,5.4,2.59,1,1,2.86,5.8,3.39,2.49,3.5
ludington_mi/lake_trout,ludington_mi,lake_trout,B,2,2027-01-20,cold_season_nearshore,3.8,0,0,2.24,2.55,1,1,2.96,3.34,3.4,2.61,3.8
ludington_mi/smallmouth_bass,ludington_mi,smallmouth_bass,B,1,2027-06-25,warm_season_harbor,5.2,0,0,1.9,4.85,3.05,1.68,1,4.33,5.2,4.01,1
ludington_mi/freshwater_drum,ludington_mi,freshwater_drum,B,1,2027-07-15,warm_season_bottom_fishery,5,0,0,1.74,4.49,3.17,1.66,1,3.96,5,4.15,1
ludington_mi/yellow_perch,ludington_mi,yellow_perch,A,2,2027-07-12,summer_harbor_schooling,7.6,52,0,4.14,4.52,3.62,1.72,1,6,7.6,4.91,1.69
grand_haven_mi/lake_trout,grand_haven_mi,lake_trout,B,2,2027-01-20,cold_season_nearshore,3.6,0,0,2.15,2.55,1,1,2.82,3.18,3.4,2.5,3.6
grand_haven_mi/smallmouth_bass,grand_haven_mi,smallmouth_bass,B,1,2027-06-25,warm_season_harbor,4.8,0,0,1.82,4.48,2.85,1.61,1,4.01,4.8,3.72,1
grand_haven_mi/freshwater_drum,grand_haven_mi,freshwater_drum,A,1,2027-07-15,warm_season_bottom_fishery,7.2,85,0,2.15,6.4,4.37,2.02,1,5.58,7.2,5.88,1
